,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.37281206250190735,0.6300430297851562,0.45595380663871765,0.7414572238922119,0.5500665307044983,train,1
1,Recall,0.37281206250190735,0.6300430297851562,0.45595380663871765,0.7414572238922119,0.5500665307044983,train,1
1,IoU,0.3313853442668915,0.4456873834133148,0.23446084558963776,0.2150912880897522,0.30665621161460876,train,1
2,Accuracy,0.4841892421245575,0.6719310879707336,0.5421571135520935,0.8508561849594116,0.637283444404602,train,2
2,Recall,0.4841892421245575,0.6719310879707336,0.5421571135520935,0.8508561849594116,0.637283444404602,train,2
2,IoU,0.4477955996990204,0.49897611141204834,0.32744136452674866,0.23838616907596588,0.3781498074531555,train,2
3,Accuracy,0.5238693356513977,0.7004786729812622,0.5596776008605957,0.8667092323303223,0.6626837253570557,train,3
3,Recall,0.5238693356513977,0.7004786729812622,0.5596776008605957,0.8667092323303223,0.6626837253570557,train,3
3,IoU,0.48540714383125305,0.5234476923942566,0.35273095965385437,0.2698739767074585,0.40786492824554443,train,3
4,Accuracy,0.625286340713501,0.7118828892707825,0.5284721255302429,0.8703689575195312,0.6840025782585144,train,4
4,Recall,0.625286340713501,0.7118828892707825,0.5284721255302429,0.8703689575195312,0.6840025782585144,train,4
4,IoU,0.5650709867477417,0.5565106868743896,0.3409483730792999,0.2993309795856476,0.4404652416706085,train,4
5,Accuracy,0.6847226023674011,0.6723338961601257,0.5820676684379578,0.9039826393127441,0.710776686668396,train,5
5,Recall,0.6847226023674011,0.6723338961601257,0.5820676684379578,0.9039826393127441,0.710776686668396,train,5
5,IoU,0.5973016023635864,0.5606836080551147,0.40857237577438354,0.2899407148361206,0.46412456035614014,train,5
6,Accuracy,0.6221792697906494,0.7162320017814636,0.6354416608810425,0.8836744427680969,0.7143818140029907,train,6
6,Recall,0.6221792697906494,0.7162320017814636,0.6354416608810425,0.8836744427680969,0.7143818140029907,train,6
6,IoU,0.57039475440979,0.5786435008049011,0.42192474007606506,0.2859884202480316,0.46423783898353577,train,6
7,Accuracy,0.6138620972633362,0.7485466599464417,0.6378467082977295,0.8862214684486389,0.7216192483901978,train,7
7,Recall,0.6138620972633362,0.7485466599464417,0.6378467082977295,0.8862214684486389,0.7216192483901978,train,7
7,IoU,0.5687320828437805,0.5974346399307251,0.41140803694725037,0.32212990522384644,0.4749261736869812,train,7
8,Accuracy,0.6743964552879333,0.7206791043281555,0.6234089732170105,0.9108015894889832,0.7323215007781982,train,8
8,Recall,0.6743964552879333,0.7206791043281555,0.6234089732170105,0.9108015894889832,0.7323215007781982,train,8
8,IoU,0.6108220815658569,0.5902644395828247,0.44622543454170227,0.3006431460380554,0.48698878288269043,train,8
