,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.7366194128990173,0.8348268270492554,0.7399566173553467,0.8921271562576294,0.8008825182914734,train,1
1,Recall,0.7366194128990173,0.8348268270492554,0.7399566173553467,0.8921271562576294,0.8008825182914734,train,1
1,IoU,0.6987708806991577,0.7015097141265869,0.5509213805198669,0.39175546169281006,0.5857393741607666,train,1
2,Accuracy,0.755071222782135,0.8291115164756775,0.7292761206626892,0.917891263961792,0.8078375458717346,train,2
2,Recall,0.755071222782135,0.8291115164756775,0.7292761206626892,0.917891263961792,0.8078375458717346,train,2
2,IoU,0.7145993113517761,0.7029896378517151,0.5717468857765198,0.3758866786956787,0.5913056135177612,train,2
3,Accuracy,0.7819615602493286,0.8399455547332764,0.8062621355056763,0.9090047478675842,0.8342934846878052,train,3
3,Recall,0.7819615602493286,0.8399455547332764,0.8062621355056763,0.9090047478675842,0.8342934846878052,train,3
3,IoU,0.7425231337547302,0.7159351706504822,0.659824013710022,0.4460170567035675,0.6410748362541199,train,3
4,Accuracy,0.7919622659683228,0.8116112351417542,0.8232014775276184,0.9382847547531128,0.8412649631500244,train,4
4,Recall,0.7919622659683228,0.8116112351417542,0.8232014775276184,0.9382847547531128,0.8412649631500244,train,4
4,IoU,0.7504723072052002,0.7275028228759766,0.6297972798347473,0.41198405623435974,0.629939079284668,train,4
5,Accuracy,0.7772612571716309,0.8476448059082031,0.7688022255897522,0.940849781036377,0.8336395025253296,train,5
5,Recall,0.7772612571716309,0.8476448059082031,0.7688022255897522,0.940849781036377,0.8336395025253296,train,5
5,IoU,0.7452210783958435,0.7364758253097534,0.6150577664375305,0.3954915404319763,0.6230615377426147,train,5
6,Accuracy,0.8460651636123657,0.8467897176742554,0.8101754784584045,0.9242274761199951,0.8568145036697388,train,6
6,Recall,0.8460651636123657,0.8467897176742554,0.8101754784584045,0.9242274761199951,0.8568145036697388,train,6
6,IoU,0.7971490621566772,0.7625657916069031,0.657742440700531,0.4904414117336273,0.6769746541976929,train,6
7,Accuracy,0.8355042934417725,0.8667207956314087,0.8094053864479065,0.9382691979408264,0.8624749183654785,train,7
7,Recall,0.8355042934417725,0.8667207956314087,0.8094053864479065,0.9382691979408264,0.8624749183654785,train,7
7,IoU,0.7958763241767883,0.7661423683166504,0.6782523989677429,0.49445265531539917,0.6836809515953064,train,7
8,Accuracy,0.754696249961853,0.8712305426597595,0.8106953501701355,0.9572774767875671,0.8484748601913452,train,8
8,Recall,0.754696249961853,0.8712305426597595,0.8106953501701355,0.9572774767875671,0.8484748601913452,train,8
8,IoU,0.7356063723564148,0.7344226837158203,0.6631971001625061,0.45797955989837646,0.647801399230957,train,8
9,Accuracy,0.8279007077217102,0.8652176260948181,0.8080530166625977,0.9536970257759094,0.8637170791625977,train,9
9,Recall,0.8279007077217102,0.8652176260948181,0.8080530166625977,0.9536970257759094,0.8637170791625977,train,9
9,IoU,0.7971474528312683,0.7594500780105591,0.6731839776039124,0.5003482699394226,0.6825324296951294,train,9
10,Accuracy,0.8563897609710693,0.8569852113723755,0.8156042695045471,0.9531208276748657,0.8705250024795532,train,10
10,Recall,0.8563897609710693,0.8569852113723755,0.8156042695045471,0.9531208276748657,0.8705250024795532,train,10
10,IoU,0.8149815201759338,0.7669756412506104,0.672903835773468,0.5483977198600769,0.7008147239685059,train,10
11,Accuracy,0.8288708329200745,0.9062648415565491,0.8229764699935913,0.9234282374382019,0.8703851103782654,train,11
11,Recall,0.8288708329200745,0.9062648415565491,0.8229764699935913,0.9234282374382019,0.8703851103782654,train,11
11,IoU,0.802238941192627,0.785724937915802,0.6879059076309204,0.5242207050323486,0.7000225782394409,train,11
12,Accuracy,0.8313387632369995,0.8681651949882507,0.836995005607605,0.9579508900642395,0.8736124634742737,train,12
12,Recall,0.8313387632369995,0.8681651949882507,0.836995005607605,0.9579508900642395,0.8736124634742737,train,12
12,IoU,0.8005608916282654,0.7732023596763611,0.7086222171783447,0.4873906672000885,0.6924440860748291,train,12
13,Accuracy,0.8372144103050232,0.8854206800460815,0.8449198007583618,0.9479373693466187,0.8788730502128601,train,13
13,Recall,0.8372144103050232,0.8854206800460815,0.8449198007583618,0.9479373693466187,0.8788730502128601,train,13
13,IoU,0.8056590557098389,0.7933104634284973,0.7034146785736084,0.5153241753578186,0.7044271230697632,train,13
14,Accuracy,0.8367190957069397,0.8596930503845215,0.8639575242996216,0.9541221261024475,0.8786229491233826,train,14
14,Recall,0.8367190957069397,0.8596930503845215,0.8639575242996216,0.9541221261024475,0.8786229491233826,train,14
14,IoU,0.8053836822509766,0.7869398593902588,0.6723620891571045,0.5101065039634705,0.6936980485916138,train,14
15,Accuracy,0.8458828926086426,0.8780399560928345,0.8682698607444763,0.9485529661178589,0.8851864337921143,train,15
15,Recall,0.8458828926086426,0.8780399560928345,0.8682698607444763,0.9485529661178589,0.8851864337921143,train,15
15,IoU,0.8183491230010986,0.7897353172302246,0.7138761878013611,0.5332205891609192,0.7137953042984009,train,15
16,Accuracy,0.8557946681976318,0.8961611390113831,0.8569895029067993,0.9508916139602661,0.8899592161178589,train,16
16,Recall,0.8557946681976318,0.8961611390113831,0.8569895029067993,0.9508916139602661,0.8899592161178589,train,16
16,IoU,0.8235878944396973,0.8140619993209839,0.7300925254821777,0.5562647581100464,0.7310017943382263,train,16
17,Accuracy,0.8419923782348633,0.8875565528869629,0.8721979260444641,0.952121376991272,0.8884670734405518,train,17
17,Recall,0.8419923782348633,0.8875565528869629,0.8721979260444641,0.952121376991272,0.8884670734405518,train,17
17,IoU,0.814583420753479,0.7940009236335754,0.7384082674980164,0.5368871688842773,0.7209699153900146,train,17
18,Accuracy,0.8611298203468323,0.89145827293396,0.8750461339950562,0.9531010389328003,0.895183801651001,train,18
18,Recall,0.8611298203468323,0.89145827293396,0.8750461339950562,0.9531010389328003,0.895183801651001,train,18
18,IoU,0.8380027413368225,0.8065851926803589,0.724726140499115,0.5539248585700989,0.73080974817276,train,18
19,Accuracy,0.8626382946968079,0.9039099812507629,0.8583353757858276,0.9505959749221802,0.893869936466217,train,19
19,Recall,0.8626382946968079,0.9039099812507629,0.8583353757858276,0.9505959749221802,0.893869936466217,train,19
19,IoU,0.8380597829818726,0.8129538297653198,0.7425867319107056,0.5681719183921814,0.7404430508613586,train,19
20,Accuracy,0.8498654365539551,0.9050946831703186,0.8711969256401062,0.9506809711456299,0.8942095041275024,train,20
