,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.8453431725502014,0.7504003047943115,0.581842839717865,0.5727472901344299,0.6875833868980408,train,1
1,Recall,0.8453431725502014,0.7504003047943115,0.581842839717865,0.5727472901344299,0.6875833868980408,train,1
1,IoU,0.6278766989707947,0.6339529156684875,0.4993187487125397,0.45062509179115295,0.5529433488845825,train,1
2,Accuracy,0.8366943001747131,0.7707923054695129,0.5855544805526733,0.4752161204814911,0.6670643091201782,train,2
2,Recall,0.8366943001747131,0.7707923054695129,0.5855544805526733,0.4752161204814911,0.6670643091201782,train,2
2,IoU,0.6376214027404785,0.6432149410247803,0.4829077124595642,0.4004344344139099,0.5410446524620056,train,2
3,Accuracy,0.8777039051055908,0.720754086971283,0.6340669989585876,0.4357714354991913,0.6670740842819214,train,3
3,Recall,0.8777039051055908,0.720754086971283,0.6340669989585876,0.4357714354991913,0.6670740842819214,train,3
3,IoU,0.6435973644256592,0.6331042051315308,0.5148887038230896,0.3881532847881317,0.544935941696167,train,3
4,Accuracy,0.8735238313674927,0.7768831253051758,0.6328812837600708,0.5374475717544556,0.7051839828491211,train,4
4,Recall,0.8735238313674927,0.7768831253051758,0.6328812837600708,0.5374475717544556,0.7051839828491211,train,4
4,IoU,0.671977162361145,0.6665993332862854,0.5496145486831665,0.4561036229133606,0.586073637008667,train,4
5,Accuracy,0.8766716718673706,0.7343481779098511,0.69190913438797,0.5656246542930603,0.717138409614563,train,5
5,Recall,0.8766716718673706,0.7343481779098511,0.69190913438797,0.5656246542930603,0.717138409614563,train,5
5,IoU,0.6781430840492249,0.6461961269378662,0.5599610805511475,0.4734123945236206,0.589428186416626,train,5
6,Accuracy,0.851643979549408,0.776628851890564,0.6323328614234924,0.5468540191650391,0.7018649578094482,train,6
6,Recall,0.851643979549408,0.776628851890564,0.6323328614234924,0.5468540191650391,0.7018649578094482,train,6
6,IoU,0.6542482376098633,0.6635786890983582,0.5323045253753662,0.4453601539134979,0.5738729238510132,train,6
7,Accuracy,0.8741549849510193,0.7351986169815063,0.6737494468688965,0.4675253927707672,0.6876571178436279,train,7
7,Recall,0.8741549849510193,0.7351986169815063,0.6737494468688965,0.4675253927707672,0.6876571178436279,train,7
7,IoU,0.6448202133178711,0.6584354043006897,0.5385510921478271,0.4140351712703705,0.5639604330062866,train,7
8,Accuracy,0.8915898203849792,0.7738966941833496,0.6029964089393616,0.4467449188232422,0.6788069605827332,train,8
8,Recall,0.8915898203849792,0.7738966941833496,0.6029964089393616,0.4467449188232422,0.6788069605827332,train,8
8,IoU,0.6601806282997131,0.6738123893737793,0.5339186787605286,0.4015085995197296,0.5673550367355347,train,8
9,Accuracy,0.862770140171051,0.7700353860855103,0.6328721642494202,0.5524324774742126,0.7045274972915649,train,9
9,Recall,0.862770140171051,0.7700353860855103,0.6328721642494202,0.5524324774742126,0.7045274972915649,train,9
9,IoU,0.6608549952507019,0.6690215468406677,0.5192885398864746,0.4593735635280609,0.5771346688270569,train,9
10,Accuracy,0.8709233999252319,0.7742128372192383,0.6721487641334534,0.5471397042274475,0.7161061763763428,train,10
10,Recall,0.8709233999252319,0.7742128372192383,0.6721487641334534,0.5471397042274475,0.7161061763763428,train,10
10,IoU,0.6634073853492737,0.6833645701408386,0.5674887299537659,0.44757217168807983,0.5904582142829895,train,10
11,Accuracy,0.899583101272583,0.7410650849342346,0.5964738726615906,0.5245101451873779,0.6904080510139465,train,11
11,Recall,0.899583101272583,0.7410650849342346,0.5964738726615906,0.5245101451873779,0.6904080510139465,train,11
11,IoU,0.6662876605987549,0.6459873914718628,0.5383815765380859,0.4466700553894043,0.5743316411972046,train,11
12,Accuracy,0.8861401677131653,0.7531045079231262,0.6345870494842529,0.5889374017715454,0.7156922817230225,train,12
12,Recall,0.8861401677131653,0.7531045079231262,0.6345870494842529,0.5889374017715454,0.7156922817230225,train,12
12,IoU,0.6597736477851868,0.6672129034996033,0.5481588244438171,0.4863075017929077,0.5903632044792175,train,12
13,Accuracy,0.8890088796615601,0.7711417078971863,0.645987331867218,0.6078791618347168,0.7285043001174927,train,13
13,Recall,0.8890088796615601,0.7711417078971863,0.645987331867218,0.6078791618347168,0.7285043001174927,train,13
13,IoU,0.6965171098709106,0.6791723966598511,0.5547904372215271,0.486065149307251,0.6041362285614014,train,13
14,Accuracy,0.8729497790336609,0.7812793254852295,0.6498626470565796,0.4924512207508087,0.6991357207298279,train,14
14,Recall,0.8729497790336609,0.7812793254852295,0.6498626470565796,0.4924512207508087,0.6991357207298279,train,14
14,IoU,0.6647129654884338,0.6840149760246277,0.5510974526405334,0.4240913391113281,0.5809792280197144,train,14
15,Accuracy,0.8890465497970581,0.7727099061012268,0.6452965140342712,0.5804809927940369,0.7218834757804871,train,15
15,Recall,0.8890465497970581,0.7727099061012268,0.6452965140342712,0.5804809927940369,0.7218834757804871,train,15
15,IoU,0.6837047338485718,0.6851993203163147,0.5527729392051697,0.48073291778564453,0.6006024479866028,train,15
16,Accuracy,0.8800666332244873,0.7692875266075134,0.6891912817955017,0.5061493515968323,0.7111737132072449,train,16
16,Recall,0.8800666332244873,0.7692875266075134,0.6891912817955017,0.5061493515968323,0.7111737132072449,train,16
16,IoU,0.6684611439704895,0.6900977492332458,0.5660355687141418,0.4352998435497284,0.5899735689163208,train,16
17,Accuracy,0.8936112523078918,0.7775686979293823,0.6532240509986877,0.5076819658279419,0.7080215215682983,train,17
17,Recall,0.8936112523078918,0.7775686979293823,0.6532240509986877,0.5076819658279419,0.7080215215682983,train,17
17,IoU,0.6841344833374023,0.6841618418693542,0.5653622150421143,0.45273271203041077,0.5965977907180786,train,17
18,Accuracy,0.8835505247116089,0.7821304798126221,0.6379069089889526,0.5310800075531006,0.708666980266571,train,18
18,Recall,0.8835505247116089,0.7821304798126221,0.6379069089889526,0.5310800075531006,0.708666980266571,train,18
18,IoU,0.6785032153129578,0.6822468042373657,0.5533735752105713,0.44720783829689026,0.5903328657150269,train,18
19,Accuracy,0.9031940698623657,0.7545928359031677,0.6712650656700134,0.5781395435333252,0.726797878742218,train,19
19,Recall,0.9031940698623657,0.7545928359031677,0.6712650656700134,0.5781395435333252,0.726797878742218,train,19
19,IoU,0.6819537878036499,0.6823298931121826,0.5773670077323914,0.4871819019317627,0.6072081327438354,train,19
20,Accuracy,0.9189580678939819,0.7294192314147949,0.6189521551132202,0.5326862335205078,0.7000039219856262,train,20
20,Recall,0.9189580678939819,0.7294192314147949,0.6189521551132202,0.5326862335205078,0.7000039219856262,train,20
20,IoU,0.669360876083374,0.6559357643127441,0.554602324962616,0.4755338132381439,0.5888582468032837,train,20
21,Accuracy,0.895910382270813,0.7826706767082214,0.6671370267868042,0.596558690071106,0.735569179058075,train,21
21,Recall,0.895910382270813,0.7826706767082214,0.6671370267868042,0.596558690071106,0.735569179058075,train,21
21,IoU,0.6945464611053467,0.6948139071464539,0.5845040678977966,0.5068274736404419,0.6201729774475098,train,21
22,Accuracy,0.8786928057670593,0.8007752299308777,0.6872023344039917,0.5330541133880615,0.7249311208724976,train,22
22,Recall,0.8786928057670593,0.8007752299308777,0.6872023344039917,0.5330541133880615,0.7249311208724976,train,22
22,IoU,0.6857696771621704,0.6962538361549377,0.6006377935409546,0.4760817885398865,0.6146857738494873,train,22
23,Accuracy,0.89625483751297,0.7718309164047241,0.6922326683998108,0.5474370718002319,0.7269388437271118,train,23
23,Recall,0.89625483751297,0.7718309164047241,0.6922326683998108,0.5474370718002319,0.7269388437271118,train,23
23,IoU,0.6750112771987915,0.6922076940536499,0.5993397235870361,0.48284247517585754,0.6123502850532532,train,23
24,Accuracy,0.9109253287315369,0.7549288868904114,0.6487841606140137,0.6032443046569824,0.7294706702232361,train,24
24,Recall,0.9109253287315369,0.7549288868904114,0.6487841606140137,0.6032443046569824,0.7294706702232361,train,24
24,IoU,0.6905718445777893,0.6759383082389832,0.5766533017158508,0.5156354308128357,0.6146997213363647,train,24
25,Accuracy,0.8946847915649414,0.7803840637207031,0.625959038734436,0.5544562339782715,0.7138710021972656,train,25
25,Recall,0.8946847915649414,0.7803840637207031,0.625959038734436,0.5544562339782715,0.7138710021972656,train,25
