,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.8267655968666077,0.8218055963516235,0.7791687250137329,0.9260931015014648,0.8384582996368408,train,1
1,Recall,0.8267655968666077,0.8218055963516235,0.7791687250137329,0.9260931015014648,0.8384582996368408,train,1
1,IoU,0.7782034277915955,0.7289597392082214,0.6501423716545105,0.3969227373600006,0.6385570764541626,train,1
2,Accuracy,0.8359195590019226,0.856479287147522,0.7743402719497681,0.9389693737030029,0.8514270782470703,train,2
2,Recall,0.8359195590019226,0.856479287147522,0.7743402719497681,0.9389693737030029,0.8514270782470703,train,2
2,IoU,0.7963885068893433,0.7567741274833679,0.6692690253257751,0.4262678325176239,0.6621748208999634,train,2
3,Accuracy,0.834363579750061,0.8840469717979431,0.8304715752601624,0.921489953994751,0.8675930500030518,train,3
3,Recall,0.834363579750061,0.8840469717979431,0.8304715752601624,0.921489953994751,0.8675930500030518,train,3
3,IoU,0.8013296127319336,0.7762835621833801,0.6974382996559143,0.49759340286254883,0.6931611895561218,train,3
4,Accuracy,0.8376103639602661,0.8739848732948303,0.8343430161476135,0.9516567587852478,0.8743987679481506,train,4
4,Recall,0.8376103639602661,0.8739848732948303,0.8343430161476135,0.9516567587852478,0.8743987679481506,train,4
4,IoU,0.8022569417953491,0.7801929712295532,0.7105062007904053,0.5232957005500793,0.7040629386901855,train,4
5,Accuracy,0.8270142674446106,0.8885992765426636,0.8533981442451477,0.9498396515846252,0.8797128200531006,train,5
5,Recall,0.8270142674446106,0.8885992765426636,0.8533981442451477,0.9498396515846252,0.8797128200531006,train,5
5,IoU,0.803737223148346,0.7857863903045654,0.7106335163116455,0.5406877398490906,0.7102112174034119,train,5
6,Accuracy,0.8574905395507812,0.8715001344680786,0.8480844497680664,0.951754629611969,0.882207453250885,train,6
6,Recall,0.8574905395507812,0.8715001344680786,0.8480844497680664,0.951754629611969,0.882207453250885,train,6
6,IoU,0.8165664076805115,0.7957895994186401,0.7284665107727051,0.5078294277191162,0.712162971496582,train,6
7,Accuracy,0.8117560148239136,0.9200895428657532,0.852178692817688,0.9370930194854736,0.8802793025970459,train,7
7,Recall,0.8117560148239136,0.9200895428657532,0.852178692817688,0.9370930194854736,0.8802793025970459,train,7
7,IoU,0.7922120690345764,0.7945631742477417,0.7291532158851624,0.5646727085113525,0.7201502919197083,train,7
8,Accuracy,0.8508155941963196,0.8792142271995544,0.8502280116081238,0.9651091694831848,0.8863417506217957,train,8
8,Recall,0.8508155941963196,0.8792142271995544,0.8502280116081238,0.9651091694831848,0.8863417506217957,train,8
8,IoU,0.822053074836731,0.799875020980835,0.7295652627944946,0.4868108630180359,0.7095760703086853,train,8
