,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.44072744250297546,0.5700046420097351,0.5297203660011292,0.5376386046409607,0.5195227861404419,train,31
1,Recall,0.44072744250297546,0.5700046420097351,0.5297203660011292,0.5376386046409607,0.5195227861404419,train,31
1,IoU,0.3660365343093872,0.4027732312679291,0.2508191764354706,0.25073161721229553,0.3175901472568512,train,31
2,Accuracy,0.5385058522224426,0.6969991326332092,0.42217734456062317,0.6089754104614258,0.566664457321167,train,32
2,Recall,0.5385058522224426,0.6969991326332092,0.42217734456062317,0.6089754104614258,0.566664457321167,train,32
2,IoU,0.44174566864967346,0.4733578860759735,0.2823449969291687,0.27978524565696716,0.3693084716796875,train,32
3,Accuracy,0.5577942132949829,0.6272994875907898,0.5975065231323242,0.5507405996322632,0.5833351612091064,train,33
3,Recall,0.5577942132949829,0.6272994875907898,0.5975065231323242,0.5507405996322632,0.5833351612091064,train,33
3,IoU,0.454763799905777,0.47993913292884827,0.30686694383621216,0.30881816148757935,0.3875970244407654,train,33
4,Accuracy,0.6159557700157166,0.6848786473274231,0.5551663041114807,0.5158320665359497,0.5929582118988037,train,34
4,Recall,0.6159557700157166,0.6848786473274231,0.5551663041114807,0.5158320665359497,0.5929582118988037,train,34
4,IoU,0.5114256739616394,0.5032963752746582,0.3185723125934601,0.3147728443145752,0.4120168089866638,train,34
5,Accuracy,0.5973452925682068,0.6344209909439087,0.6017237305641174,0.4748583137989044,0.5770870447158813,train,35
5,Recall,0.5973452925682068,0.6344209909439087,0.6017237305641174,0.4748583137989044,0.5770870447158813,train,35
5,IoU,0.4781191349029541,0.4863188862800598,0.31337589025497437,0.30582645535469055,0.3959100842475891,train,35
6,Accuracy,0.6484871506690979,0.669507622718811,0.6055691242218018,0.4568743109703064,0.5951095223426819,train,36
6,Recall,0.6484871506690979,0.669507622718811,0.6055691242218018,0.4568743109703064,0.5951095223426819,train,36
6,IoU,0.5162039995193481,0.5189051628112793,0.34509432315826416,0.30936259031295776,0.42239153385162354,train,36
7,Accuracy,0.6803299188613892,0.6344379186630249,0.6464734077453613,0.4186740815639496,0.5949788093566895,train,37
7,Recall,0.6803299188613892,0.6344379186630249,0.6464734077453613,0.4186740815639496,0.5949788093566895,train,37
7,IoU,0.5438735485076904,0.5048491954803467,0.359798401594162,0.2803267538547516,0.42221197485923767,train,37
8,Accuracy,0.5887799859046936,0.691941499710083,0.6333531141281128,0.37933966517448425,0.5733535885810852,train,38
8,Recall,0.5887799859046936,0.691941499710083,0.6333531141281128,0.37933966517448425,0.5733535885810852,train,38
8,IoU,0.4777871370315552,0.534553587436676,0.32259300351142883,0.30053389072418213,0.40886688232421875,train,38
9,Accuracy,0.6629406213760376,0.6911537647247314,0.5393754839897156,0.5242702960968018,0.6044350266456604,train,39
9,Recall,0.6629406213760376,0.6911537647247314,0.5393754839897156,0.5242702960968018,0.6044350266456604,train,39
9,IoU,0.5251337885856628,0.5198127031326294,0.33618485927581787,0.36351969838142395,0.4361627697944641,train,39
10,Accuracy,0.6932322978973389,0.6961144208908081,0.602314829826355,0.4534875750541687,0.6112872362136841,train,40
10,Recall,0.6932322978973389,0.6961144208908081,0.602314829826355,0.4534875750541687,0.6112872362136841,train,40
10,IoU,0.5496349334716797,0.5504594445228577,0.3530970811843872,0.363085001707077,0.4540691077709198,train,40
11,Accuracy,0.7613256573677063,0.6758322715759277,0.4589664340019226,0.5133455991744995,0.6023675203323364,train,41
11,Recall,0.7613256573677063,0.6758322715759277,0.4589664340019226,0.5133455991744995,0.6023675203323364,train,41
11,IoU,0.5718072056770325,0.520197868347168,0.33133065700531006,0.36817094683647156,0.4478766918182373,train,41
12,Accuracy,0.6846622228622437,0.6952099204063416,0.565177321434021,0.48864635825157166,0.6084239482879639,train,42
12,Recall,0.6846622228622437,0.6952099204063416,0.565177321434021,0.48864635825157166,0.6084239482879639,train,42
12,IoU,0.5247090458869934,0.5513015389442444,0.3528488874435425,0.35771846771240234,0.44664448499679565,train,42
13,Accuracy,0.7051997780799866,0.7547309398651123,0.47954094409942627,0.4826345145702362,0.6055265665054321,train,43
13,Recall,0.7051997780799866,0.7547309398651123,0.47954094409942627,0.4826345145702362,0.6055265665054321,train,43
13,IoU,0.5475794076919556,0.5715479254722595,0.32931414246559143,0.37320438027381897,0.45541146397590637,train,43
14,Accuracy,0.7581070065498352,0.6726763844490051,0.4779719114303589,0.538600742816925,0.6118390560150146,train,44
14,Recall,0.7581070065498352,0.6726763844490051,0.4779719114303589,0.538600742816925,0.6118390560150146,train,44
14,IoU,0.557239294052124,0.5437871217727661,0.3267601430416107,0.3968455493450165,0.4561580419540405,train,44
15,Accuracy,0.6920073628425598,0.705961287021637,0.5664309859275818,0.43528178334236145,0.599920392036438,train,45
15,Recall,0.6920073628425598,0.705961287021637,0.5664309859275818,0.43528178334236145,0.599920392036438,train,45
15,IoU,0.5286083221435547,0.5612033605575562,0.354007750749588,0.3373415172100067,0.4452902376651764,train,45
16,Accuracy,0.7543104887008667,0.6988359093666077,0.516919732093811,0.4609977602958679,0.6077659726142883,train,46
16,Recall,0.7543104887008667,0.6988359093666077,0.516919732093811,0.4609977602958679,0.6077659726142883,train,46
16,IoU,0.5628177523612976,0.5601038336753845,0.3518071472644806,0.3659050464630127,0.46015846729278564,train,46
17,Accuracy,0.7756343483924866,0.7098414897918701,0.5437065958976746,0.5132520794868469,0.6356086134910583,train,47
17,Recall,0.7756343483924866,0.7098414897918701,0.5437065958976746,0.5132520794868469,0.6356086134910583,train,47
17,IoU,0.5883712768554688,0.5755465030670166,0.3896307349205017,0.373262494802475,0.4817027449607849,train,47
